AccessionNumber,Notes,TaxonName,Observer_ID,IdentificationType_C1,PreferredName_C1,Phylum,Class,Order,Family,Substrate,Country_CE1,NZAreaCode_CE1,Locality_CE1,Collector_CE1,CollectionDate_CE1,GeoReference_CE1,DecimalLatitude_CE1,DecimalLongitude_CE1
PDD 105723,"Public Note: slight perfume smell, no taste. Buried in litter. Clamped. 4 spored, spores to 30 x 4. same as 13007 and Mike Wallace's 39264 Mushroom Observer. L. magnispora (=L. metulispora/ventriosospora) is similar but with yellow veil fragments, and a different sequence. This same as China sequence of this species described from Sri Lanka.",Lepiota thrombophora aff.,J.A. Cooper,Determination,Lepiota thrombophora (Berk. & Broome) Sacc.,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,litter,New Zealand,Nelson,"Totaranui, Headland Track",J.A. Cooper,2014/05/16, 2510866 6043609,-40.814045,173.010403
PDD 102189,"Public Note: RR351 - cap 10-15m mm; smaller than RR352 ; Public Note: Gill edge brown. Hyphae strongly dextrinoid. Brown pigment on gill edge is extra-cellular and disperses. Maybe old material of Gloiocephala jac11919, although caulocystidia not seen. Has same large spores.",Marasmius jac11925,J.A. Cooper,Determination,Marasmius Fr.,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,dead fern fronds,Cook Islands,,"Rarotonga, Te Kou Track, disturbed forest near bottom",G. McCormack,2005/01/19,,,
PDD 112473,"Public Note: 32nd Fungal Foray of New Zealand; Public Note: on dead punga. Whole mushroom bioluminecsnt. Spores are ellispoid, like Nile River and unlike ocullonymphae cf.",Mycena sp. 'Nile River (PDD 87114)',J.A. Cooper,Determination,Mycena sp. 'Nile River (PDD 87114)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,,New Zealand,Buller,Te Ara O Te Kinga Track,P. Charles,10/05/2018,-42.620192 171.501389,-42.620192,171.501389
PDD 107403,"Public Note: [Ns} Scattered in moss and duff under beech. Whole mushroom covered in thick slime, cap 16-42 mm across, stipe 35-58 mm long, 5-8 mm thick at apex, equal or clavate, covered in slime below cortima. No odor, taste mild. Slime pale yellow-orange in UV light. [JAC] sequence says vitreopileatus",Cortinarius vitreopileatus,J.A. Cooper,Determination,Cortinarius vitreopileatus E. Horak,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,litter,New Zealand,Fiordland,Deer Flat Rest Area,N. Siegel,1/05/2018,-44.998492 168.006792,-44.998492,168.006792
PDD 70563,,Pleurotus ostreatus (Jacq.) P. Kumm.,B.S. Weir,Determination,Pleurotus ostreatus (Jacq.) P. Kumm.,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,commercial mushroom,New Zealand,Dunedin,"Dunedin, New World Supermarket",I.A. Hall,1995/09/19, 2482480 5765250,-43.319682,172.660580
PDD 112934,Public Note: [WMD] Small conical mushroom growing on soil amongst litter. The cap is smooth and reddish-brown in colour. The gills are orange-tan and attached at the top and appear to be notched. The stipe is dark orange-tan towards the apex and dark brown towards the base. Cystidia are visible on the gill edge and stipe. Cap size about 2 cm in diameter and 4-5 cm in height. Remnant mature coastal broadleaf forest.,Galerina,J.A. Cooper,Determination,Galerina Earle,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,log,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,15/06/2019,-36.916932 174.939272,-36.916932,174.939272
PDD 113115,"Public Note: [NS] In large troops and clusters around decaying beech stump. Cap 6-19 mm across, stipe 17-50 mm long, 1-2 mm thick, whole mushroom very fragile. Earthy odor, taste mild.",Coprinellus,N. Siegel,Determination,Coprinellus P. Karst. 1879,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,litter,New Zealand,Fiordland,"Totara Campground, Milford Sound Road.",N. Siegel,18/04/2019,-45.076511 167.985331,-45.076511,167.985331
PDD 112516,"Public Note: [WMD] This mushroom has a dark purplish-brown cap with light tan coloured gills. The gills are attached with a notch. The stipe is lightly fibrous and tan in colour, tapering at the base. Fruit body size 4 cm in diameter and 4 cm in height. Growing on soil amongst moss under grove of totara in remnant mature coastal forest. Hymeniform pileipellis elements. [JAC] Pileipellis a hymeniderm and spores amyloid. Confirmed as Dermoloma. This has the spores of D. murinum but the frb itself is larger, lyophyllum-like. Sequence near Dermoloma magicum and not congeric with other Dermoloma. Part of a broader Pseudotricholoma? It is worth noting that Stevenson in her original description of 'Tricholoma' murinum mentions the stem becoming ochrceous and the flesh turning from white to grey. Is this really D. murinum?",Pseudoporpoloma,J.A. Cooper,Determination,Pseudoporpoloma Vizzini & Consiglio,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,12/07/2018,-36.919084 174.937063,-36.919084,174.937063
PDD 112539,Public Note: [WMD] This mushroom has a dark black-brown smooth cap with light cream coloured gills. The gills are non-blackening and attached. The stipe is fibrous and cream-brown and was attached off-centre. Fruit body size 4 cm in diameter and 4 cm in height. Growing on soil amongst litter in remnant mature coastal broadleaf forest. Spores more or less globose. Non-blackening Lyophyllum? Growing as a single fruit body which is unusual for Lyophyllum. [JAC] single frb so not investigated firther at the moment.,Lyophyllum,W.M. Daley,Determination,Lyophyllum P. Karst. 1881,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,12/07/2018,-36.917986 174.938007,-36.917986,174.938007
PDD 112549,Public Note: [WMD] This mushroom has a light tan cap with a hint of pink-apricot and cream-pink-beige gills and was observed growing on a thick layer of broadleaf leaf litter. The mature caps are sunken and the gills are attached and descending down the stipe. The base of the stipe is expanded with extended white mycelial growth amongst the leaf litter. Cap size up to 4 cm in diameter and up to 6.5 cm in height. Remnant mature coastal broadleaf forest.Spherical vesicles observed in cap pileipellis,Singerocybe clitocyboides,W.M. Daley,Determination,"Singerocybe clitocyboides (Cooke & Massee) Zhu L. Yang, J. Qin & G.M. Gates",Basidiomycota,Agaricomycetes,Agaricales,Clitocybaceae,,New Zealand,Auckland,"Howick, Mangemangeroa Valley Walkway",W.M. Daley,29/05/2018,-36.919044 174.937352,-36.919044,174.937352
PDD 54492,"Public Note: from imported cultivated mushroom, used in compatibility trials and was compatible with PKB 95/249","Pleurotus sp. ""florida""",P.K. Buchanan,Determination,Pleurotus (Fr.) P. Kumm. 1871,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,,,,Imported into New Zealand from unknown origin,P.K. Buchanan,1988/07/01,,,
PDD 113532,"Public Note: [NS ]On Lactarius? (or Russula) under Kunzea robusta . Covering the whole mushroom with tissue, but just the gills with perithecia, pinkish staining and discoloration in age. KOH orangish on perithecia.",Hypomyces,N. Siegel,Determination,Hypomyces (Fr.) Tul. & C. Tul. 1860,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,,New Zealand,Bay of Plenty,"Awakeri, 791 White Pine Bush Road, Marcus Baker's land",N. Siegel,16/05/2019,-38.022421 176.96781,-38.022421,176.967810
PDD 113731,"Public Note: [GS] Solitary mushroom growing in pasture. Height 12.5 cm, cap 47 mm across. Spore print very dark, almost black. [JAC] groing from old dung? PP a gelatinised hymeniderm? Spores 20 x 12 bvery thick-walled, with germ pore. Dark brown (not black). 4-spored. No CC observed. Looks like a very large A. pediades.",Agrocybe pediades,J.A. Cooper,Determination,Agrocybe pediades (Fr.) Fayod,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,,New Zealand,Wellington,"Ballance, Woodville",G. Smith,7/09/2019,-40.332667 175.817573,-40.332667,175.817573
PDD 113245,"Public Note: [NS] Clustered on gravel roadside, under beech. At first glance, I thought Pholiota. But it doesn't appear to have a viscid cuticle, and had slow bluish green staining on cap margin. I seen to remember a similar mushroom in Tasmania last year on roadsides.",Flammula sp. 'Matawai (PDD 96737)',N. Siegel,Determination,Flammula sp. 'Matawai (PDD 96737)' J.A. Cooper ined.,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,litter,New Zealand,Fiordland,"On road, downhill from Borland Saddle, close to Borland Biv",N. Siegel,24/04/2019,-45.733597 167.364805,-45.733597,167.364805
PDD 105303,,Candida rongomai-pounamu,Padamsee et al.,Determination,"Candida rongomai-pounamu Padamsee, B.S. Weir, Petterson, P.K. Buchanan",Ascomycota,Saccharomycetes,Saccharomycetales,,,New Zealand,Auckland,"Auckland, The Gardens, Totara Park",Rongomai Primary School STEM students,2016/03/08,,,
PDD 95404,"Public Note: A myxacium. Young caps with violet hue. Cap and stem very slimy (below cortina). Gills consistently brown and not violet. Cap no change in KOH, not fluorescent. Taste and smell mildly aromatic when rubbed (horse mushroom). None of Soop's species. Near magellanicus - this (SA version) and submeleagris(Tasmania) come out close in sequences. Various images of even South American C. magellanicus look different (Fungi Austral 2008, Gamundi & Horak 1993). In Sydowia 1990 this isn't magellanicus as that with uniform purple stipe. In Mosers' stirps archeri - but comes to ajacapiae rather than magellanicus. Description of magellanicus has gills without violet colours in Moser. Spegazzini description is of deep violet taxon but some later descriptions are not. Seems closer to Gasparini's submagellanicus. ITS/LSU near lubricanescens",Cortinarius lubricanescens,J.A. Cooper,Determination,Cortinarius lubricanescens Soop,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,soil,New Zealand,,"Cooper's Creek, Oxford",J.A. Cooper,2009/04/10, 2435769 5771600,-43.259368,172.085598
PDD 113150,"Public Note: [NS] Solitary from moss and duff under beech .Cap 127 mm across, dry, soft, covered with appressed fibrils, stipe 91 mm long, 17 mm thick at apex, 30 mm thick at base, covered with appressed fibrils below veil, flesh off-white, no staining, taste like button mushroom, no odor. KOH black on cap. Olive on stipe, no flesh rxn.",Agaricus lanatoniger,J.A. Cooper,Determination,Agaricus lanatoniger Heinem.,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,litter,New Zealand,Fiordland,"Kepler Track, downstream from Rainbow Reach crossing.",N. Siegel,19/04/2019,-45.491581  167.657948 ,-45.491581,167.657948
PDD 107062,"Public Note: [GS] Solitary mushroom growing on the ground in broadleaf-podocarp forest. Cap 55 mm across, cap and stem very slimy. [JAC] sequence confirmed as M. rangitakei but poor.",Myxoderma sp. 'Rangitakei (PDD 108478)',J.A. Cooper,Determination,Limacella pitereka Grgur.,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,soil,New Zealand,Wanganui,"Hunterville, Bruce Park Scenic Reserve",G. Smith,28/05/2018,-39.960858 175.531616,-39.960858,175.531616
PDD 106602,"Public Note: [GS] A solitary mushroom growing on a rotting log in remnant podocarp forest. Cap 60 mm across, fawn coloured. Gills fawn coloured, crowded and free of stem. Stipe covered with dark brown fibres, somewhat bulbous at the base. [JAC] From the material: large fusoid terminal pileipellis cells, unclamped, spores 5 x 3, pleurocystidia pronged and to 40um long, gill edge brown. P. microspermus confirmed.",Pluteus microspermus,J.A. Cooper,Determination,Pluteus microspermus E. Horak,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,log,New Zealand,Wellington,"Waiopehu Reserve, Levin",G. Smith,2017/12/7,-40.639065 175.323955,-40.639065,175.323955
PDD 106393,"Public Note: [WMD] Very large grouping of a small pink-tan mushroom with pinky-cream gills growing on bark. They covered an area of at least two square metres up and around the trunk of a large standing dead taraire tree. The caps were growing up to 10-12 mm in diameter and 15-18 mm in height. The gills were attached with cystidia visible on the gill edge to the naked eye. The stipe is pink-tan and darker towards the base. Remnant mature coastal broadleaf forest. [JAC] Gymnopus dichrous aff. The cap isn't hymeniform but has broad elements, the cheilocystidia are large and it has inamyloid, non-dextrinoid spores. This was in my key as Gymnopus JAC10294. It is part of the G. dichrous group with your material looking much more like US collections than mine. From the two collections it seems it does differ from the US version in having an excentric stipe. Yours less so than mine, but still consistently off centre. Phylogenetically it is close, but different.",Gymnopus dichrous aff.,J.A. Cooper,Determination,Collybiopsis dichrous (Berk. & M.A. Curtis) R.H. Petersen,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,dead standing trunk,New Zealand,Auckland,"Auckland, Howick, Mangemangeroa Valley Walkway",W.M. Daley,2016/5/28,-36.91793 174.938151,-36.917930,174.938151
PDD 15023,,Chaetomium elatum Kunze & J.C. Schmidt,S.J. Hughes,Determination,Chaetomium elatum Kunze,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,artificial compost,United Kingdom,,"England, Yoxley, Mushroom Growers Research Association",C.J.P. La Touche,1947/06/00,,,
